time, Quad.Est.E.Yaw, Quad.Est.E.Pitch, Quad.Est.E.Roll
0.005000,0.000000,-0.000022,0.000014
0.010000,0.000000,-0.000141,0.000013
0.015000,-0.000000,-0.000654,0.000014
0.020000,-0.000001,-0.001256,0.000003
0.025000,-0.000004,-0.002568,-0.000041
0.030000,-0.000004,-0.003711,-0.000061
0.035000,-0.000004,-0.005710,-0.000101
0.040000,-0.000002,-0.007168,-0.000104
0.045000,0.000002,-0.009401,-0.000099
0.050000,0.000007,-0.010831,-0.000098
0.055000,0.000013,-0.012682,-0.000102
0.060000,0.000017,-0.013602,-0.000100
0.065000,0.000023,-0.014438,-0.000063
0.070000,0.000027,-0.014598,-0.000036
0.075000,0.000032,-0.014298,-0.000019
0.080000,0.000034,-0.013776,-0.000024
0.085000,0.000034,-0.012628,-0.000043
0.090000,0.000033,-0.011713,-0.000044
0.095000,0.000031,-0.010237,-0.000044
0.100000,0.000030,-0.009214,-0.000039
0.105000,0.000026,-0.007703,-0.000023
0.110000,0.000024,-0.006762,-0.000010
0.115000,0.000019,-0.005465,-0.000000
0.120000,0.000014,-0.004704,-0.000001
0.125000,0.000008,-0.003763,-0.000014
0.130000,0.000005,-0.003260,-0.000007
0.135000,0.000001,-0.002696,0.000011
0.140000,-0.000001,-0.002420,0.000026
0.145000,-0.000005,-0.002107,0.000048
0.150000,-0.000007,-0.001795,0.000073
0.155000,-0.000013,-0.000866,0.000089
0.160000,-0.000019,0.000124,0.000108
0.165000,-0.000026,0.002140,0.000120
0.170000,-0.000030,0.003797,0.000069
0.175000,-0.000040,0.006689,-0.000121
0.180000,-0.000051,0.008833,-0.000263
0.185000,-0.000077,0.012290,-0.000445
0.190000,-0.000104,0.014677,-0.000541
0.195000,-0.000160,0.018298,-0.000608
0.200000,-0.000202,0.020644,-0.000578
0.205000,-0.000267,0.023817,-0.000552
0.210000,-0.000311,0.025504,-0.000538
0.215000,-0.000380,0.027085,-0.000542
0.220000,-0.000428,0.027465,-0.000559
0.225000,-0.000499,0.027156,-0.000588
0.230000,-0.000546,0.026461,-0.000606
0.235000,-0.000614,0.024848,-0.000619
0.240000,-0.000659,0.023479,-0.000634
0.245000,-0.000723,0.021179,-0.000657
0.250000,-0.000765,0.019545,-0.000664
0.255000,-0.000825,0.017027,-0.000658
0.260000,-0.000862,0.015333,-0.000660
0.265000,-0.000915,0.012808,-0.000665
0.270000,-0.000949,0.011164,-0.000685
0.275000,-0.000994,0.008789,-0.000715
0.280000,-0.001021,0.007298,-0.000731
0.285000,-0.001056,0.005209,-0.000778
0.290000,-0.001076,0.003934,-0.000814
0.295000,-0.001099,0.002247,-0.000867
0.300000,-0.001111,0.001302,-0.000886
0.305000,-0.001124,0.000204,-0.000867
0.310000,-0.001130,-0.000327,-0.000848
0.314999,-0.001133,-0.000849,-0.000828
0.319999,-0.001132,-0.001010,-0.000817
0.324999,-0.001129,-0.001018,-0.000805
0.329999,-0.001125,-0.000894,-0.000800
0.334999,-0.001121,-0.000544,-0.000801
0.339999,-0.001118,-0.000256,-0.000810
0.344999,-0.001115,0.000187,-0.000840
0.349999,-0.001114,0.000468,-0.000861
0.354999,-0.001117,0.000807,-0.000867
0.359999,-0.001121,0.000980,-0.000873
0.364999,-0.001126,0.001165,-0.000901
0.369999,-0.001131,0.001185,-0.000914
0.374999,-0.001138,0.000974,-0.000885
0.379999,-0.001142,0.000669,-0.000857
0.384999,-0.001148,-0.000081,-0.000814
0.389999,-0.001150,-0.000739,-0.000804
0.394998,-0.001152,-0.001889,-0.000818
0.399998,-0.001150,-0.002738,-0.000823
0.404998,-0.001143,-0.004060,-0.000829
0.409998,-0.001136,-0.004937,-0.000847
0.414998,-0.001121,-0.006131,-0.000855
0.419998,-0.001107,-0.006830,-0.000867
