time, Quad.Roll, Quad.Est.Roll, Quad.Pitch, Quad.Est.Pitch, Quad.Yaw, Quad.Est.Yaw
0.005000,0.000015,0.000022,-0.000028,-0.000034,0.000000,0.000000
0.010000,0.000053,0.000051,-0.000383,-0.000305,0.000002,0.000002
0.015000,0.000097,0.000104,-0.001818,-0.002046,0.000003,0.000003
0.020000,0.000107,0.000114,-0.005410,-0.004903,-0.000001,0.000000
0.025000,0.000011,-0.000000,-0.012255,-0.013137,-0.000011,-0.000013
0.030000,-0.000179,-0.000153,-0.023496,-0.022116,-0.000024,-0.000023
0.035000,-0.000469,-0.000503,-0.040047,-0.041989,-0.000033,-0.000036
0.040000,-0.000824,-0.000788,-0.062518,-0.059964,-0.000033,-0.000037
0.045000,-0.001162,-0.001194,-0.091165,-0.094342,-0.000016,-0.000019
0.050000,-0.001502,-0.001465,-0.125863,-0.122115,0.000025,0.000012
0.055000,-0.001854,-0.001886,-0.165998,-0.170265,0.000092,0.000089
0.060000,-0.002208,-0.002169,-0.210410,-0.205826,0.000188,0.000164
0.065000,-0.002489,-0.002506,-0.257626,-0.262472,0.000309,0.000306
0.070000,-0.002649,-0.002632,-0.306032,-0.301229,0.000453,0.000420
0.075000,-0.002745,-0.002747,-0.354068,-0.358862,0.000617,0.000615
0.080000,-0.002846,-0.002824,-0.400309,-0.395883,0.000792,0.000755
0.085000,-0.002999,-0.003008,-0.443628,-0.447869,0.000974,0.000971
0.090000,-0.003179,-0.003152,-0.483260,-0.479588,0.001157,0.001117
0.095000,-0.003354,-0.003362,-0.518847,-0.522304,0.001340,0.001335
0.100000,-0.003522,-0.003497,-0.550164,-0.547368,0.001520,0.001478
0.105000,-0.003652,-0.003653,-0.577200,-0.579831,0.001693,0.001685
0.110000,-0.003735,-0.003719,-0.600168,-0.598210,0.001858,0.001817
0.115000,-0.003778,-0.003772,-0.619388,-0.621293,0.002011,0.002001
0.120000,-0.003818,-0.003803,-0.635243,-0.633978,0.002145,0.002108
0.125000,-0.003891,-0.003889,-0.648247,-0.649608,0.002261,0.002247
0.130000,-0.003955,-0.003940,-0.658954,-0.658173,0.002363,0.002329
0.135000,-0.003981,-0.003971,-0.667895,-0.668921,0.002457,0.002440
0.140000,-0.003936,-0.003934,-0.675525,-0.675028,0.002538,0.002505
0.145000,-0.003836,-0.003815,-0.682180,-0.683027,0.002609,0.002591
0.150000,-0.003643,-0.003660,-0.687706,-0.687476,0.002669,0.002639
0.155000,-0.003389,-0.003355,-0.691077,-0.691510,0.002714,0.002694
0.160000,-0.003070,-0.003099,-0.690815,-0.691334,0.002738,0.002712
0.165000,-0.002700,-0.002656,-0.685386,-0.684812,0.002741,0.002716
0.170000,-0.002302,-0.002394,-0.673438,-0.675281,0.002730,0.002706
0.175000,-0.001918,-0.002114,-0.653775,-0.651685,0.002708,0.002674
0.180000,-0.001596,-0.001977,-0.625423,-0.629025,0.002678,0.002640
0.185000,-0.001328,-0.001827,-0.587638,-0.583689,0.002643,0.002573
0.190000,-0.001025,-0.001694,-0.539945,-0.545547,0.002610,0.002518
0.195000,-0.000654,-0.001341,-0.482175,-0.476240,0.002585,0.002429
0.200000,-0.000237,-0.000987,-0.414446,-0.422054,0.002580,0.002377
0.205000,0.000189,-0.000447,-0.337497,-0.329753,0.002608,0.002333
0.210000,0.000604,-0.000101,-0.252811,-0.261972,0.002672,0.002331
0.215000,0.000993,0.000380,-0.162785,-0.153997,0.002774,0.002371
0.220000,0.001288,0.000621,-0.070228,-0.079915,0.002902,0.002420
0.225000,0.001507,0.000884,0.022260,0.031036,0.003045,0.002516
0.230000,0.001643,0.000989,0.112494,0.103254,0.003195,0.002588
0.235000,0.001760,0.001118,0.198737,0.206728,0.003351,0.002705
0.240000,0.001867,0.001192,0.279614,0.271451,0.003509,0.002787
0.245000,0.001962,0.001286,0.354270,0.361043,0.003669,0.002914
0.250000,0.002070,0.001357,0.422206,0.415405,0.003826,0.002998
0.255000,0.002257,0.001555,0.483156,0.488559,0.003981,0.003125
0.260000,0.002518,0.001746,0.537017,0.531658,0.004139,0.003214
0.265000,0.002845,0.002110,0.583798,0.587812,0.004300,0.003353
0.270000,0.003190,0.002369,0.623626,0.619680,0.004458,0.003447
0.275000,0.003513,0.002733,0.656727,0.659420,0.004607,0.003584
0.280000,0.003834,0.002977,0.683440,0.680792,0.004743,0.003669
0.285000,0.004097,0.003275,0.704173,0.705692,0.004862,0.003784
0.290000,0.004256,0.003394,0.719393,0.717867,0.004958,0.003847
0.295000,0.004287,0.003424,0.729679,0.730232,0.005029,0.003918
